case_id,event,y,vs1,csr,mw,sigma_eff_kpa,fc,s_Vs,p_liq
9001,1906 San Francisco M7.7 Earthquake,1,172.0,0.3,7.7,54.03,0.0,2.3833560067366695,0.9914222027262157
9002,1906 San Francisco M7.7 Earthquake,0,172.1,0.19,7.7,117.47,0.0,0.5446250859783182,0.7069943011099373
118,1948 Fukui M7.1 Earthquake,1,142.3,0.4,7.1,74.83,0.0,4.733427870963105,0.9999988962028188
103,1948 Fukui M7.1 Earthquake,1,201.9,0.55,7.1,61.23,0.0,2.1679543065622973,0.9849189183508994
101,1948 Fukui M7.1 Earthquake,1,169.4,0.53,7.1,73.45,0.0,4.415438900459798,0.9999949597374806
102,1948 Fukui M7.1 Earthquake,1,197.4,0.55,7.1,59.05,0.0,2.5443182464124736,0.9945254361631168
120,1948 Fukui M7.1 Earthquake,1,135.4,0.51,7.1,40.07,0.0,6.004334100683594,0.9999999990394063
114,1948 Fukui M7.1 Earthquake,1,153.4,0.35,7.1,87.87,0.0,3.6546845240848604,0.9998712507947216
116,1948 Fukui M7.1 Earthquake,1,134.0,0.39,7.1,59.14,0.0,4.984547838496449,0.9999996894656059
115,1948 Fukui M7.1 Earthquake,1,161.5,0.44,7.1,63.49,0.0,4.131375314323552,0.9999819700365472
117,1948 Fukui M7.1 Earthquake,1,222.6,0.57,7.1,42.25,0.0,0.3669514728077549,0.6431723921156881
121,1948 Fukui M7.1 Earthquake,0,312.5,0.37,7.1,16.18,0.0,-14.252121427772147,2.174336206245642e-46
119,1948 Fukui M7.1 Earthquake,1,186.4,0.48,7.1,12.22,0.0,2.819542358845626,0.997595390844837
9013,1964 Niigata M7.5 Earthquake,0,167.1,0.1,7.5,80.88,0.0,-1.8912271890056322,0.029297011688687973
9014,1964 Niigata M7.5 Earthquake,1,122.2,0.16,7.5,48.52,0.0,2.118192298816559,0.982920607428692
9015,1964 Niigata M7.5 Earthquake,1,145.1,0.16,7.5,37.66,0.0,1.1799117969497663,0.880982351298286
96,1964 Niigata M7.5 Earthquake,1,135.0,0.12,7.5,78.43,0.0,0.4779348515498272,0.6836517125262711
99,1964 Niigata M7.5 Earthquake,1,141.6,0.14,7.5,84.49,0.0,0.8177107940670123,0.7932388272522257
100,1964 Niigata M7.5 Earthquake,1,135.3,0.12,7.5,108.33,0.0,0.4721339771210753,0.6815844191510999
97,1964 Niigata M7.5 Earthquake,1,145.8,0.12,7.5,49.83,0.0,-0.011610069468549287,0.49536835646356997
98,1964 Niigata M7.5 Earthquake,0,163.1,0.15,7.5,75.8,0.0,-0.0137555162731168,0.4945125160221235
95,1964 Niigata M7.5 Earthquake,0,170.6,0.13,7.5,79.52,0.0,-1.0467981734976586,0.14759633649084059
64B,1968 Tokachi Oki Earthquake,1,139.0,0.21,7.9,57.45,0.0,2.8486725049352377,0.9978048977032573
65B,1968 Tokachi Oki Earthquake,1,139.0,0.21,7.9,57.45,0.0,2.8486725049352377,0.9978048977032573
65A,1968 Tokachi Oki Earthquake,1,131.9,0.23,7.9,40.51,0.0,3.505477436386806,0.9997721054333866
56A,1968 Tokachi Oki Earthquake,1,148.5,0.21,7.9,28.15,0.0,2.3932974078284266,0.9916511500276368
41,1968 Tokachi Oki Earthquake,1,109.9,0.08,7.9,61.8,0.0,-0.010762916032778496,0.49570630063155546
74,1973 Miyagi Ken Oki Earthquake,1,116.9,0.2,7.4,31.38,0.0,3.11551967159151,0.99908189449604
80A,1973 Miyagi Ken Oki Earthquake,1,144.4,0.2,7.4,44.81,0.0,2.0462888434839797,0.9796360196476405
84,1973 Miyagi Ken Oki Earthquake,1,171.3,0.2,7.4,101.05,0.0,0.5839354306892861,0.7203681227196185
81A,1973 Miyagi Ken Oki Earthquake,1,140.9,0.25,7.4,50.6,0.0,3.1118507848081074,0.9990704077705937
82A,1973 Miyagi Ken Oki Earthquake,0,172.2,0.21,7.4,50.17,0.0,0.7094441547631742,0.7609755523738706
79A,1973 Miyagi Ken Oki Earthquake,1,160.4,0.16,7.4,78.99,0.0,0.33007559536052306,0.6293285785627423
77A,1973 Miyagi Ken Oki Earthquake,1,171.8,0.36,7.4,50.45,0.0,2.9162778363908943,0.9982288254998252
