y,pA,pB,instrument,event,inband_A
1.0,0.956521245981334,0.925403250909922,SPT,SPT|1964 Niigata M=7.5,False
1.0,0.7356105512966967,0.6825700343717902,SPT,SPT|1975 Haicheng Ms=7.3,False
1.0,0.5771806252257682,0.7012139884718428,SPT,SPT|1975 Haicheng Ms=7.3,True
1.0,0.9751134276828498,0.9928339463554974,SPT,SPT|1978 Miyagiken-Oki M=7.4,False
0.0,0.4161902479620686,0.3971974870877461,SPT,SPT|1978 Miyagiken-Oki M=6.7,True
0.0,0.7122560547079132,0.8950393082317148,SPT,SPT|1978 Miyagiken-Oki M=7.4,False
1.0,0.7207134084200301,0.5927302698193034,SPT,SPT|1978 Miyagiken-Oki M=6.7,False
1.0,0.9072549934834354,0.9124571448912686,SPT,SPT|1978 Miyagiken-Oki M=7.4,False
0.0,0.36911047972923544,0.18778997117792015,SPT,SPT|1978 Miyagiken-Oki M=6.7,True
1.0,0.7956061393876357,0.935104245064019,SPT,SPT|1978 Miyagiken-Oki M=7.4,False
0.0,0.21743490190729367,0.1936113701897565,SPT,SPT|1978 Miyagiken-Oki M=6.7,False
1.0,0.7956061393876357,0.8342993001673468,SPT,SPT|1978 Miyagiken-Oki M=7.4,False
0.0,0.21743490190729367,0.09063608211586906,SPT,SPT|1978 Miyagiken-Oki M=6.7,False
1.0,0.8327963047985328,0.9300413985008817,SPT,SPT|1979 Imperial Valley ML=6.6,False
1.0,0.999033747982863,0.999684690250506,SPT,SPT|1979 Imperial Valley ML=6.6,False
0.0,0.4248709113755332,0.36905859495458404,SPT,SPT|1979 Imperial Valley ML=6.6,True
0.0,0.09982490327875382,0.3763390263925818,SPT,SPT|1979 Imperial Valley ML=6.6,False
1.0,0.999557864657596,0.9998659227031368,SPT,SPT|1979 Imperial Valley ML=6.6,False
0.0,0.09982490327875382,0.17388618318364707,SPT,SPT|1979 Imperial Valley ML=6.6,False
1.0,0.999557864657596,0.9993162204265444,SPT,SPT|1979 Imperial Valley ML=6.6,False
1.0,0.76946844262286,0.8716476923625425,SPT,SPT|1981 WestMorland ML=5.6,False
1.0,0.76946844262286,0.8767561565744593,SPT,SPT|1981 WestMorland ML=5.6,False
1.0,0.76946844262286,0.8916813612418572,SPT,SPT|1981 WestMorland ML=5.6,False
1.0,0.6267439283633472,0.7547407395926722,SPT,SPT|1981 Westmorland ML=5.6,True
0.0,0.2289346974658957,0.04287638209377706,SPT,SPT|1981Westmorland ML=5.6,False
1.0,0.5493707227764884,0.7941104303407874,SPT,SPT|1981 WestMorland ML=5.6,True
1.0,0.5403719503289163,0.5840675089794457,SPT,SPT|1983 Nihonkai-Chubu M=7.7,True
1.0,0.49637749939237136,0.5132605621168708,SPT,SPT|1983 Nihonkai-Chubu M=7.1,True
